number of points;est
1650;3.13212
1650;3.10545
1650;3.23152
1650;3.15152
1650;3.14424
1650;3.12485
1650;3.14424
1650;3.12242
1650;3.14424
1650;3.15394
1650;3.04485
1650;3.13697
1650;3.12242
1650;3.16364
1650;3.14667
1650;3.15152
1650;3.08606
1700;3.15294
1700;3.10588
1700;3.07294
1700;3.08235
1700;3.10588
1700;3.19294
1700;3.18118
1700;3.14118
1700;3.2
1700;3.19059
1700;3.13647
1700;3.06588
1700;3.10824
1700;3.20235
1700;3.13412
1700;3.16941
1700;3.16235
1700;3.17176
1700;3.14588
1700;3.15765
1700;3.19294
1700;3.10824
1700;3.06353
1700;3.13412
1700;3.17647
1700;3.16706
1700;3.08941
1700;3.11765
1700;3.16235
1700;3.11059
1700;3.14353
1700;3.11765
1700;3.15294
1700;3.15294
1700;3.13412
1700;3.10118
1700;3.12235
1700;3.12706
1700;3.16235
1700;3.15059
1700;3.11294
1700;3.11765
1700;3.18118
1700;3.11294
1700;3.10588
1700;3.17647
1700;3.16235
1700;3.16235
1700;3.22824
1700;3.09176
1750;3.08571
1750;3.10171
1750;3.16343
1750;3.13371
1750;3.13371
1750;3.15657
1750;3.15886
1750;3.14057
1750;3.14743
1750;3.16571
1750;3.14057
1750;3.15657
1750;3.11543
1750;3.13371
1750;3.15886
1750;3.14286
1750;3.18629
1750;3.09943
1750;3.13143
1750;3.12
1750;3.13371
1750;3.09943
1750;3.19543
1750;3.16343
1750;3.06286
1750;3.16114
1750;3.13143
1750;3.12914
1750;3.16343
1750;3.168
1750;3.18629
1750;3.12686
1750;3.11771
1750;3.09943
1750;3.104
1750;3.07429
1750;3.09257
1750;3.14057
1750;3.13143
1750;3.19543
1750;3.11543
1750;3.14514
1750;3.09714
1750;3.11314
1750;3.16571
1750;3.14057
1750;3.17943
1750;3.05829
1750;3.10629
1750;3.15886
1800;3.09556
1800;3.06889
1800;3.13556
1800;3.1
1800;3.2
1800;3.17333
1800;3.14
1800;3.16667
1800;3.09333
1800;3.14222
1800;3.19778
1800;3.17556
1800;3.19333
1800;3.16444
1800;3.13556
1800;3.07333
1800;3.16444
1800;3.14222
1800;3.08222
1800;3.12222
1800;3.16444
1800;3.16222
1800;3.11556
1800;3.12222
1800;3.11111
1800;3.05111
1800;3.19111
1800;3.12889
1800;3.10889
1800;3.14667
1800;3.15333
1800;3.18667
1800;3.11111
1800;3.13556
1800;3.10444
1800;3.10889
1800;3.13778
1800;3.14
1800;3.18
1800;3.15556
1800;3.12667
1800;3.13333
1800;3.18
1800;3.14667
1800;3.09556
1800;3.1
1800;3.13556
1800;3.20889
1800;3.17333
1800;3.14
1850;3.15459
1850;3.16757
1850;3.10703
1850;3.11784
1850;3.13946
1850;3.14811
1850;3.15459
1850;3.07027
1850;3.11351
1850;3.14811
1850;3.15459
1850;3.10919
1850;3.13081
1850;3.14162
1850;3.1027
1850;3.14811
1850;3.1027
1850;3.08324
1850;3.13946
1850;3.12
1850;3.16324
1850;3.14162
1850;3.1027
1850;3.15243
1850;3.10054
1850;3.11784
1850;3.22378
1850;3.17622
1850;3.14595
1850;3.09405
1850;3.12
1850;3.11351
1850;3.1027
1850;3.16973
1850;3.18919
1850;3.12432
1850;3.15027
1850;3.12865
1850;3.13081
1850;3.15243
1850;3.15892
1850;3.06811
1850;3.13081
1850;3.20649
1850;3.10703
1850;3.17622
1850;3.18054
1850;3.12
1850;3.16973
1850;3.23243
1900;3.09684
1900;3.13263
1900;3.17895
1900;3.13053
1900;3.15579
1900;3.15368
1900;3.13474
1900;3.18105
1900;3.12421
1900;3.09895
1900;3.15158
1900;3.14105
1900;3.17895
1900;3.10947
1900;3.18316
1900;3.16632
1900;3.13474
1900;3.13684
1900;3.14737
1900;3.16
1900;3.16
1900;3.17684
1900;3.15158
1900;3.17263
1900;3.15579
1900;3.06105
1900;3.14316
1900;3.18105
1900;3.15579
1900;3.13263
1900;3.18105
1900;3.10105
1900;3.11158
1900;3.17053
1900;3.12632
1900;3.13053
1900;3.15789
1900;3.14105
1900;3.18105
1900;3.08211
1900;3.10526
1900;3.14316
1900;3.17263
1900;3.11579
1900;3.10947
1900;3.06947
1900;3.14316
1900;3.13053
1900;3.17684
1900;3.14105
1950;3.1241
1950;3.17744
1950;3.12821
1950;3.14462
1950;3.08513
1950;3.16513
1950;3.1241
1950;3.08308
1950;3.18564
1950;3.19179
1950;3.13846
1950;3.14051
1950;3.15282
1950;3.07487
1950;3.18564
1950;3.13231
1950;3.17333
1950;3.24718
1950;3.13436
1950;3.10359
1950;3.11179
1950;3.05436
1950;3.09538
1950;3.15487
1950;3.10154
1950;3.14667
1950;3.16308
1950;3.11179
1950;3.18154
1950;3.16103
1950;3.18154
1950;3.13846
1950;3.12
1950;3.08308
1950;3.21436
1950;3.16513
1950;3.14051
1950;3.09949
1950;3.17333
1950;3.14051
1950;3.13026
1950;3.18564
1950;3.08103
1950;3.11795
